"l [mm]","Freq [GHz]","dB(S(4,4)) []"
7.5,5.2,-15.8989228386807
7.5,5.21,-15.125810060156
7.5,5.22,-14.4587969438864
7.5,5.23,-13.8805985819103
7.5,5.24,-13.3777124601414
7.5,5.25,-12.9393682661636
7.5,5.26,-12.5571030382545
7.5,5.27,-12.2241217718518
7.5,5.28,-11.9349484679772
7.5,5.29,-11.6851983582361
7.5,5.3,-11.4713685017965
7.5,5.31,-11.2906367366111
7.5,5.32,-11.1407445126606
7.5,5.33,-11.019999053697
7.5,5.34,-10.927100734238
7.5,5.35,-10.8611890122948
7.5,5.36,-10.8216775180955
7.5,5.37,-10.8083005745515
7.5,5.38,-10.8210118197105
7.5,5.39,-10.8601313816129
7.5,5.4,-10.926330355922
7.5,5.41,-11.0206711591401
7.5,5.42,-11.1445523491466
7.5,5.43,-11.2997713400678
7.5,5.44,-11.4885135015198
7.5,5.45,-11.7134118896207
7.5,5.46,-11.9776495175801
7.5,5.47,-12.2850395143195
7.5,5.48,-12.6400954977848
7.5,5.49,-13.0482259529861
7.5,5.5,-13.5159035066006
7.5,5.51,-14.0508408204589
7.5,5.52,-14.6623976223633
7.5,5.53,-15.3619092295134
7.5,5.54,-16.1632204496007
7.5,5.55,-17.0835673922289
7.5,5.56,-18.1441206066016
7.5,5.57,-19.3710094181319
7.5,5.58,-20.7952595160426
7.5,5.59,-22.4488142668571
7.5,5.6,-24.3460308998954
7.5,5.61,-26.4157373605003
7.5,5.62,-28.3143419958034
7.5,5.63,-29.2668217717698
7.5,5.64,-28.8090205556335
7.5,5.65,-27.5673470073127
7.5,5.66,-26.2727965362118
7.5,5.67,-25.2183001974883
7.5,5.68,-24.4684128479071
7.5,5.69,-24.0228701964773
7.5,5.7,-23.8732489890478
7.5,5.71,-24.0200378634589
7.5,5.72,-24.4787339987096
7.5,5.73,-25.2848302914833
7.5,5.74,-26.4990628921767
7.5,5.75,-28.2008629164701
7.5,5.76,-30.3840524554776
7.5,5.77,-32.311299774641
7.5,5.78,-31.6866046518784
7.5,5.79,-28.705648892263
7.5,5.8,-25.5725197610201
7.5,5.81,-22.8777581072355
7.5,5.82,-20.5913296971601
7.5,5.83,-18.6234125945793
7.5,5.84,-16.908167147012
7.5,5.85,-15.404574001251
7.5,5.86,-14.0878609622691
7.5,5.87,-12.9421443074676
7.5,5.88,-11.9555523969101
7.5,5.89,-11.1173778082818
7.5,5.9,-10.4167219013319
7.5,5.91,-9.84218988456645
7.5,5.92,-9.38203342303103
7.5,5.93,-9.02455559352548
7.5,5.94,-8.75845006980162
7.5,5.95,-8.57313385019793
7.5,5.96,-8.45883704134922
7.5,5.97,-8.40665072813669
7.5,5.98,-8.40853163131071
7.5,5.99,-8.45719224245838
7.5,6,-8.5460137381369
9.5,5.2,-12.8588635994964
9.5,5.21,-12.3850310955206
9.5,5.22,-11.9680692981192
9.5,5.23,-11.6008686965731
9.5,5.24,-11.2781187313439
9.5,5.25,-10.9952409231271
9.5,5.26,-10.748378670862
9.5,5.27,-10.5346794986982
9.5,5.28,-10.3517129903498
9.5,5.29,-10.1975920898756
9.5,5.3,-10.070924977614
9.5,5.31,-9.97068985362368
9.5,5.32,-9.89623075100058
9.5,5.33,-9.8473474480506
9.5,5.34,-9.82413749244914
9.5,5.35,-9.82710163540565
9.5,5.36,-9.85709738350281
9.5,5.37,-9.91542143616314
9.5,5.38,-10.0038221506028
9.5,5.39,-10.1245239023662
9.5,5.4,-10.2804701074002
9.5,5.41,-10.4750603062192
9.5,5.42,-10.7126824874586
9.5,5.43,-10.9984826225884
9.5,5.44,-11.3386354649508
9.5,5.45,-11.7402888681986
9.5,5.46,-12.2119616777386
9.5,5.47,-12.7631475523713
9.5,5.48,-13.403863699148
9.5,5.49,-14.1439747022347
9.5,5.5,-14.990809438264
9.5,5.51,-15.9449046112734
9.5,5.52,-16.9925156218413
9.5,5.53,-18.0928174863332
9.5,5.54,-19.1647607267056
9.5,5.55,-20.0890262312623
