"l [mm]","Freq [GHz]","dB(S(3,4)) []"
7.5,5.2,-1.22492316344879
7.5,5.21,-1.24265143590334
7.5,5.22,-1.26341709612092
7.5,5.23,-1.28672366668149
7.5,5.24,-1.31213211105588
7.5,5.25,-1.33926336140984
7.5,5.26,-1.36778405036079
7.5,5.27,-1.39740742275644
7.5,5.28,-1.42788882426796
7.5,5.29,-1.45901930105272
7.5,5.3,-1.49062212472305
7.5,5.31,-1.52255332467593
7.5,5.32,-1.55470025545736
7.5,5.33,-1.58697332109233
7.5,5.34,-1.6193129067761
7.5,5.35,-1.65168036346404
7.5,5.36,-1.68407013834488
7.5,5.37,-1.71650400593203
7.5,5.38,-1.74904433499909
7.5,5.39,-1.78178374364315
7.5,5.4,-1.81484812595927
7.5,5.41,-1.84839335738663
7.5,5.42,-1.88261552094394
7.5,5.43,-1.91775175555262
7.5,5.44,-1.95409050821832
7.5,5.45,-1.99197687781944
7.5,5.46,-2.03181287753657
7.5,5.47,-2.07406663551694
7.5,5.48,-2.11927406672693
7.5,5.49,-2.16804386279458
7.5,5.5,-2.22106344228379
7.5,5.51,-2.27909480034321
7.5,5.52,-2.34297687995778
7.5,5.53,-2.41362424566344
7.5,5.54,-2.49201510910546
7.5,5.55,-2.57918854747723
7.5,5.56,-2.67622339202398
7.5,5.57,-2.78422544116786
7.5,5.58,-2.90430883029721
7.5,5.59,-3.03757585930888
7.5,5.6,-3.18510088214158
7.5,5.61,-3.34791812052536
7.5,5.62,-3.52702044151799
7.5,5.63,-3.72337062076314
7.5,5.64,-3.93793043285903
7.5,5.65,-4.17171020430262
7.5,5.66,-4.42584113598788
7.5,5.67,-4.70167239073328
7.5,5.68,-5.00088888026378
7.5,5.69,-5.32565246660712
7.5,5.7,-5.67875996373046
7.5,5.71,-6.06381394810205
7.5,5.72,-6.48540411951374
7.5,5.73,-6.94928927909907
7.5,5.74,-7.46256703213462
7.5,5.75,-8.03380272429419
7.5,5.76,-8.6730439010615
7.5,5.77,-9.39155812936966
7.5,5.78,-10.2009009729503
7.5,5.79,-11.1104208116339
7.5,5.8,-12.1212028347888
7.5,5.81,-13.2123840068428
7.5,5.82,-14.3137700022848
7.5,5.83,-15.2662188739704
7.5,5.84,-15.8158782433993
7.5,5.85,-15.7450965377974
7.5,5.86,-15.0790352604218
7.5,5.87,-14.0595706177732
7.5,5.88,-12.9309192259912
7.5,5.89,-11.8359619725602
7.5,5.9,-10.8342481236871
7.5,5.91,-9.94115598227248
7.5,5.92,-9.15297263405072
7.5,5.93,-8.45921149477834
7.5,5.94,-7.84804655307517
7.5,5.95,-7.30850377040607
7.5,5.96,-6.83120606827354
7.5,5.97,-6.40848045556966
7.5,5.98,-6.03420415817148
7.5,5.99,-5.70358507994932
7.5,6,-5.41293998785753
9.5,5.2,-1.47343681574397
9.5,5.21,-1.51036637384975
9.5,5.22,-1.54992347674908
9.5,5.23,-1.59183294919091
9.5,5.24,-1.63587079686379
9.5,5.25,-1.68186350020216
9.5,5.26,-1.72970014249194
9.5,5.27,-1.77931071798113
9.5,5.28,-1.83068292460006
9.5,5.29,-1.88385676170604
9.5,5.3,-1.93892734410624
9.5,5.31,-1.99605224503484
9.5,5.32,-2.05546192376516
9.5,5.33,-2.11745168293039
9.5,5.34,-2.18241276722416
9.5,5.35,-2.25083467417782
9.5,5.36,-2.32333402893747
9.5,5.37,-2.40066784696244
9.5,5.38,-2.48377889984094
9.5,5.39,-2.57380166917921
9.5,5.4,-2.67215884839754
9.5,5.41,-2.7805824029129
9.5,5.42,-2.90118934543516
9.5,5.43,-3.03659805016936
9.5,5.44,-3.19001992685635
9.5,5.45,-3.36540420997885
9.5,5.46,-3.56760530326963
9.5,5.47,-3.80260321318142
9.5,5.48,-4.07771768848099
9.5,5.49,-4.40192908317696
9.5,5.5,-4.78619760670383
9.5,5.51,-5.24388621963467
9.5,5.52,-5.79126955334771
9.5,5.53,-6.4481835874131
9.5,5.54,-7.23896743839952
9.5,5.55,-8.19382923174852
9.5,5.56,-9.35077576238262
9.5,5.57,-10.7578345808104
9.5,5.58,-12.4725607546132
9.5,5.59,-14.5427973127345
9.5,5.6,-16.8935883167071
9.5,5.61,-18.8923263258681
9.5,5.62,-19.0667396470958
9.5,5.63,-17.3584756114121
9.5,5.64,-15.2400561407475
9.5,5.65,-13.3815222892703
9.5,5.66,-11.8668571798766
9.5,5.67,-10.6478587876332
9.5,5.68,-9.66570543072176
9.5,5.69,-8.87202129034261
9.5,5.7,-8.22958923383973
9.5,5.71,-7.70986897455174
9.5,5.72,-7.29068723325207
9.5,5.73,-6.95449109011243
9.5,5.74,-6.68712019356676
9.5,5.75,-6.47695149404472
9.5,5.76,-6.31428839150655
9.5,5.77,-6.19098030910342
9.5,5.78,-6.10013076589407
9.5,5.79,-6.03592138851374
9.5,5.8,-5.99350582251194
9.5,5.81,-5.96894363015518
9.5,5.82,-5.95910707442714
9.5,5.83,-5.96168450579501
9.5,5.84,-5.97511192930961
9.5,5.85,-5.99853548985698
9.5,5.86,-6.03174956538608
9.5,5.87,-6.07511986030079
9.5,5.88,-6.12951693590369
9.5,5.89,-6.19616480705476
9.5,5.9,-6.27649483320046
9.5,5.91,-6.37191595806074
9.5,5.92,-6.48345546507745
9.5,5.93,-6.61127597946095
9.5,5.94,-6.75397317754186
9.5,5.95,-6.90765363625195
9.5,5.96,-7.06478733088141
9.5,5.97,-7.21318881987029
9.5,5.98,-7.33548203190606
9.5,5.99,-7.41010805496628
9.5,6,-7.41469654405967
11.5,5.2,-1.96130021832845
11.5,5.21,-2.03399744237388
11.5,5.22,-2.11188224365665
11.5,5.23,-2.19518343963649
11.5,5.24,-2.28440348855018
11.5,5.25,-2.38009795836384
11.5,5.26,-2.48306195397452
11.5,5.27,-2.5942956808551
11.5,5.28,-2.71510525109316
11.5,5.29,-2.84717185503944
11.5,5.3,-2.99259169871454
11.5,5.31,-3.15407085417891
11.5,5.32,-3.33508592377832
11.5,5.33,-3.54012835832428
11.5,5.34,-3.77504839051228
11.5,5.35,-4.04752798308854
11.5,5.36,-4.3677457967218
11.5,5.37,-4.74931557315781
11.5,5.38,-5.21053499595094
11.5,5.39,-5.77622992029584
11.5,5.4,-6.48036736145854
11.5,5.41,-7.37006144660026
11.5,5.42,-8.5123251574332
11.5,5.43,-10.007339529489
11.5,5.44,-12.0191783069683
11.5,5.45,-14.8608799830979
11.5,5.46,-19.2954697547906
11.5,5.47,-27.9238395002139
11.5,5.48,-26.0893915913606
11.5,5.49,-18.7148732452408
11.5,5.5,-14.8267570383555
11.5,5.51,-12.3075530785621
11.5,5.52,-10.5131708812066
11.5,5.53,-9.17181499460118
11.5,5.54,-8.14315037647238
11.5,5.55,-7.3448138690618
11.5,5.56,-6.72400235668379
11.5,5.57,-6.24476130726797
11.5,5.58,-5.88156737333726
11.5,5.59,-5.61586541966659
11.5,5.6,-5.43395634031092
11.5,5.61,-5.32567641765046
11.5,5.62,-5.28341191105233
11.5,5.63,-5.30137616712375
11.5,5.64,-5.37494253337031
11.5,5.65,-5.50009322965289
11.5,5.66,-5.67284119947414
11.5,5.67,-5.88867953484184
11.5,5.68,-6.14199481997359
11.5,5.69,-6.42548863603531
11.5,5.7,-6.72967233796714
11.5,5.71,-7.04238255380916
11.5,5.72,-7.34866269225344
11.5,5.73,-7.63101100026275
11.5,5.74,-7.87042850507717
11.5,5.75,-8.04830764580022
11.5,5.76,-8.14905119861962
11.5,5.77,-8.16274360387112
11.5,5.78,-8.08709128394839
11.5,5.79,-7.92766374577444
11.5,5.8,-7.69645787676698
11.5,5.81,-7.40926926178144
11.5,5.82,-7.08314703195223
11.5,5.83,-6.73407793918182
11.5,5.84,-6.37578752933972
11.5,5.85,-6.01921126477031
11.5,5.86,-5.67251721741051
11.5,5.87,-5.34138154707751
11.5,5.88,-5.02944387762791
11.5,5.89,-4.73872412175163
11.5,5.9,-4.46999970529112
11.5,5.91,-4.22320381337569
11.5,5.92,-3.99764938964215
11.5,5.93,-3.79227791834873
11.5,5.94,-3.60583214339771
11.5,5.95,-3.4369876977725
11.5,5.96,-3.28442128696798
11.5,5.97,-3.14690910842847
11.5,5.98,-3.02335153949106
11.5,5.99,-2.91281079497604
11.5,6,-2.81453339197636
