Phi [deg],Theta [deg],Freq [GHz],dB(AxialRatioValue) [],dB(GainTotal) []
0,0,5.2,5.586775401,9.00818882
0,0,5.21,5.500556126,9.043042159
0,0,5.22,5.413377152,9.079681985
0,0,5.23,5.325314058,9.118380746
0,0,5.24,5.236154091,9.159379013
0,0,5.25,5.145804563,9.202935753
0,0,5.26,5.054243183,9.249312723
0,0,5.27,4.961245816,9.298746505
0,0,5.28,4.866679392,9.351477415
0,0,5.29,4.770389773,9.407736156
0,0,5.3,4.672146553,9.467733729
0,0,5.31,4.571759703,9.531674534
0,0,5.32,4.469046991,9.599746772
0,0,5.33,4.363695366,9.672110253
0,0,5.34,4.255445679,9.748908006
0,0,5.35,4.143985425,9.830255243
0,0,5.36,4.029009803,9.916237952
0,0,5.37,3.910156145,10.00690553
0,0,5.38,3.78710342,10.10226959
0,0,5.39,3.659358088,10.20228765
0,0,5.4,3.526607179,10.30687361
0,0,5.41,3.388406407,10.41586815
0,0,5.42,3.244289616,10.52904335
0,0,5.43,3.093856683,10.64608425
0,0,5.44,2.936693443,10.76657729
0,0,5.45,2.77241758,10.88999567
0,0,5.46,2.600716274,11.01568751
0,0,5.47,2.421463488,11.14285803
0,0,5.48,2.234630266,11.27055928
0,0,5.49,2.040567885,11.3976829
0,0,5.5,1.840023811,11.52296005
0,0,5.51,1.634465904,11.6449736
0,0,5.52,1.426501549,11.76218563
0,0,5.53,1.220492277,11.87298295
0,0,5.54,1.023961278,11.97574224
0,0,5.55,0.850005746,12.06890912
0,0,5.56,0.720225144,12.15107854
0,0,5.57,0.662735175,12.22106678
0,0,5.58,0.692747206,12.27794876
0,0,5.59,0.793846513,12.3210508
0,0,5.6,0.934789084,12.34989676
0,0,5.61,1.091250485,12.36411911
0,0,5.62,1.249096931,12.36336305
0,0,5.63,1.401154253,12.34721324
0,0,5.64,1.544585372,12.31516595
0,0,5.65,1.679394177,12.26665148
0,0,5.66,1.807407125,12.20109744
0,0,5.67,1.931604703,12.11801023
0,0,5.68,2.055557302,12.01705326
0,0,5.69,2.182799637,11.89810006
0,0,5.7,2.31652285,11.76125717
0,0,5.71,2.459209486,11.60685383
0,0,5.72,2.612588355,11.4354077
0,0,5.73,2.777450119,11.2475529
0,0,5.74,2.953944301,11.04400244
0,0,5.75,3.141490659,10.82545049
0,0,5.76,3.33915349,10.59255753
0,0,5.77,3.545614154,10.34586016
0,0,5.78,3.759461081,10.08577796
0,0,5.79,3.97923314,9.812583343
0,0,5.8,4.20353249,9.526398099
0,0,5.81,4.431043589,9.227185407
0,0,5.82,4.66065135,8.914808656
0,0,5.83,4.891377684,8.589009596
0,0,5.84,5.122414224,8.249464261
0,0,5.85,5.353078936,7.895813256
0,0,5.86,5.582796615,7.527725963
0,0,5.87,5.810952631,7.144950801
0,0,5.88,6.036852435,6.747416389
0,0,5.89,6.259463724,6.335331504
0,0,5.9,6.477239347,5.909338274
0,0,5.91,6.687821243,5.470693755
0,0,5.92,6.88760385,5.021463281
0,0,5.93,7.071426938,4.564786374
0,0,5.94,7.232158979,4.105081675
0,0,5.95,7.360503163,3.648192263
0,0,5.96,7.445278235,3.201399582
0,0,5.97,7.474349512,2.773167672
0,0,5.98,7.436392706,2.372505082
0,0,5.99,7.323423469,2.007999611
0,0,6,7.133238558,1.68646324
