"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
5.2,-13.2732519104781,-16.3910271833175,-5.20681752176224,-3.38645536190712
5.24,-14.0626669962278,-17.2483572675526,-5.04142245988485,-3.40542003061419
5.28,-14.9243706440409,-18.2292941333883,-4.88341461709502,-3.43237480542191
5.32,-15.8584704114708,-19.3617353804347,-4.73415138955406,-3.4671040005993
5.36,-16.8589363622751,-20.68371391844,-4.59479250117244,-3.50922026073203
5.4,-17.9077870298548,-22.2476200458742,-4.4662818280526,-3.55817139771997
5.44,-18.9654735862864,-24.1230547894845,-4.34933953978641,-3.61325592249318
5.48,-19.958237816268,-26.38099189524,-4.2444646680026,-3.67364749471877
5.52,-20.7712190945876,-28.9601767155132,-4.15194552643815,-3.73842483103239
5.56,-21.2693837833135,-31.046994319205,-4.0718774878114,-3.8066074634263
5.6,-21.3612986028099,-30.7377897129877,-4.00418566890471,-3.87719163677432
5.64,-21.0618078697311,-28.4395273500913,-3.94865051924328,-3.9491886863466
5.68,-20.4794080846299,-25.9666398913699,-3.90493441222192,-4.02165905510933
5.72,-19.7448163199869,-23.8580303881827,-3.87260781823622,-4.09374173775612
5.76,-18.9584912649379,-22.1140033309353,-3.85117226662561,-4.16468044855307
5.8,-18.1803731409097,-20.6586822219144,-3.84008191344541,-4.23383884900952
5.84,-17.4402144287242,-19.425728926483,-3.83876028650758,-4.30071213319215
5.88,-16.7497633065572,-18.366106895243,-3.84661389328651,-4.36492851462879
5.92,-16.1113000915041,-17.4442708907199,-3.86304149289375,-4.42624899856795
5.96,-15.5225402686231,-16.6341831017583,-3.88744179365437,-4.48455621179403
6,-14.9793330838663,-15.916379113586,-3.91921574201389,-4.53984298674341
