"Freq [GHz]","cang_deg(S(3,1)) [deg]","cang_deg(S(4,1)) [deg]"
5.2,-33.0719860809265,-118.809859941317
5.24,-36.7881735894779,-123.190939923589
5.28,-40.5922227281582,-127.562182558439
5.32,-44.4770485244322,-131.916925928052
5.36,-48.434530024855,-136.248738785165
5.4,-52.4557928321255,-140.551660019137
5.44,-56.5314958240704,-144.820418195574
5.48,-60.652112312373,-149.050628947333
5.52,-64.8081836560991,-153.238944755929
5.56,-68.9905368194991,-157.383154476771
5.6,-73.1904626243837,-161.482227186131
5.64,-77.3998404397579,-165.536292156324
5.68,-81.6112219454929,-169.546567146739
5.72,-85.8178671954957,-173.51523833501
5.76,-90.0137533011343,-177.445302490831
5.8,-94.193542979511,-181.340385759853
5.84,-98.352543169384,-185.204549614784
5.88,-102.48663804075,-189.042096865711
5.92,-106.592240613575,-192.857394421642
5.96,-110.666214237595,-196.654701495229
6,-114.705822743835,-200.4380455162
