Freq [GHz],"dB(S(4,3)) []","dB(S(4,4)) []"
5.2,-3.211716278,-10.44144022
5.21,-3.34992214,-11.00281402
5.22,-3.521507463,-11.63362578
5.23,-3.742317702,-12.34001003
5.24,-4.036428782,-13.12783768
5.25,-4.438041967,-14.00214185
5.26,-4.988481224,-14.96612017
5.27,-5.716004899,-16.01934024
5.28,-6.576931671,-17.1543764
5.29,-7.367457869,-18.3502795
5.3,-7.763317366,-19.55983108
5.31,-7.63279195,-20.68652784
5.32,-7.17805791,-21.5543303
5.33,-6.656121172,-21.90845781
5.34,-6.19818454,-21.52831037
5.35,-5.83876714,-20.41139798
5.36,-5.573501337,-18.7801617
5.37,-5.388437105,-16.90897653
5.38,-5.270246212,-15.01893772
5.39,-5.208750474,-13.2815286
5.4,-5.196990916,-11.84186682
5.41,-5.230710141,-10.81204723
5.42,-5.307830376,-10.23892034
5.43,-5.42807257,-10.08793899
5.44,-5.592729495,-10.27079061
5.45,-5.804574612,-10.6916144
5.46,-6.067888733,-11.27568249
5.47,-6.388595734,-11.97498068
5.48,-6.774511004,-12.76266619
5.49,-7.235722222,-13.62583177
5.5,-7.785145539,-14.55989897
5.51,-8.439339543,-15.56482702
5.52,-9.219729881,-16.64239173
5.53,-10.15452778,-17.79357991
5.54,-11.28186594,-19.01488932
5.55,-12.65509241,-20.29168565
5.56,-14.35168333,-21.58580808
5.57,-16.48620672,-22.81506248
5.58,-19.20954683,-23.83131006
5.59,-22.50339942,-24.43244275
5.6,-24.70708876,-24.45871678
5.61,-22.91261022,-23.91736916
5.62,-19.8142252,-22.97004609
5.63,-17.25318316,-21.80410858
5.64,-15.28228999,-20.55221913
5.65,-13.75054837,-19.29004511
5.66,-12.54257333,-18.05853919
5.67,-11.58246767,-16.88140908
5.68,-10.8205316,-15.77406592
5.69,-10.22382124,-14.74719573
5.7,-9.770473555,-13.8078328
5.71,-9.446360442,-12.95956395
5.72,-9.243109569,-12.2026127
5.73,-9.156930188,-11.53407234
5.74,-9.187903353,-10.94832698
5.75,-9.339492252,-10.43760499
5.76,-9.61802404,-9.99258713
5.77,-10.03176189,-9.603005619
5.78,-10.58881353,-9.258196421
5.79,-11.29224799,-8.947591249
5.8,-12.12897942,-8.661150527
5.81,-13.04635513,-8.389743227
5.82,-13.91251031,-8.125477076
5.83,-14.48744671,-7.861977229
5.84,-14.50516473,-7.594606858
5.85,-13.89745818,-7.320620844
5.86,-12.86586472,-7.039244368
5.87,-11.67822402,-6.751670117
5.88,-10.5108177,-6.460969736
5.89,-9.443712899,-6.171915638
5.9,-8.501493608,-5.890708893
5.91,-7.683159813,-5.624609765
5.92,-6.977703798,-5.381472954
5.93,-6.371338374,-5.169203065
5.94,-5.850576983,-4.995168277
5.95,-5.403384079,-4.865640134
5.96,-5.019475675,-4.78536178
5.97,-4.69026857,-4.757373839
5.98,-4.408699638,-4.783187877
5.99,-4.169010254,-4.863186878
6,-3.966534509,-4.996889391
