"Phi [deg]","Theta [deg]","Freq [GHz]","dB(GainTotal) []"
0,0,5.1,4.89725968245157
0,0,5.11,4.97759102610141
0,0,5.12,5.05941090860819
0,0,5.13,5.14210390974713
0,0,5.14,5.22494405561796
0,0,5.15,5.30708268704682
0,0,5.16,5.38753372719616
0,0,5.17,5.46515619232339
0,0,5.18,5.53863294992409
0,0,5.19,5.60644278369527
0,0,5.2,5.66682409102534
0,0,5.21,5.71772575684767
0,0,5.22,5.75674348311663
0,0,5.23,5.78103939920435
0,0,5.24,5.78725161909065
0,0,5.25,5.77141721104115
0,0,5.26,5.72897745473871
0,0,5.27,5.65503160197641
0,0,5.28,5.5452248663031
0,0,5.29,5.39807860260621
0,0,5.3,5.22022789147136
0,0,5.31,5.03631537181636
0,0,5.32,4.90228011843519
0,0,5.33,4.90839168566463
0,0,5.34,5.14247428083163
0,0,5.35,5.61461585444827
0,0,5.36,6.22973530197773
0,0,5.37,6.85841347097958
0,0,5.38,7.41481201168073
0,0,5.39,7.87078615740959
0,0,5.4,8.23279072357724
0,0,5.41,8.51932915428348
0,0,5.42,8.74928234744266
0,0,5.43,8.93796423772684
0,0,5.44,9.09667648922893
0,0,5.45,9.23339806575678
0,0,5.46,9.35364048228998
0,0,5.47,9.46116804777895
0,0,5.48,9.55853364076882
0,0,5.49,9.64745753271549
0,0,5.5,9.72908919805466
0,0,5.51,9.80418744183475
0,0,5.52,9.87324323957184
0,0,5.53,9.93656314383361
0,0,5.54,9.99432492453121
0,0,5.55,10.0466125970524
0,0,5.56,10.0934365155922
0,0,5.57,10.1347410623541
0,0,5.58,10.1704035646563
0,0,5.59,10.2002262896591
0,0,5.6,10.223924442786
0,0,5.61,10.2411137901118
0,0,5.62,10.2513011866594
0,0,5.63,10.2538812382227
0,0,5.64,10.2481418278845
0,0,5.65,10.2332783834608
0,0,5.66,10.2084146520978
0,0,5.67,10.1726257709693
0,0,5.68,10.1249578041117
0,0,5.69,10.064439245788
0,0,5.7,9.99008208350342
0,0,5.71,9.90087271225033
0,0,5.72,9.79575623759847
0,0,5.73,9.67361970944797
0,0,5.74,9.53328025114045
0,0,5.75,9.37348561879931
0,0,5.76,9.19293294380134
0,0,5.77,8.99031313592792
0,0,5.78,8.76438780177941
0,0,5.79,8.51410535730875
0,0,5.8,8.23876366850163
0,0,5.81,7.93822408597618
0,0,5.82,7.61317798419468
0,0,5.83,7.26545790809424
0,0,5.84,6.89837165708114
0,0,5.85,6.51701592164029
0,0,5.86,6.12849537981515
0,0,5.87,5.74194449608619
0,0,5.88,5.36822892992684
0,0,5.89,5.0192263362953
0,0,5.9,4.7066756428985
0,0,5.91,4.44075257903164
0,0,5.92,4.22870165600456
0,0,5.93,4.07388508426196
0,0,5.94,3.97544661080747
0,0,5.95,3.9286485752828
0,0,5.96,3.92587265431604
0,0,5.97,3.9580164813427
0,0,5.98,4.01582600301836
0,0,5.99,4.09084529053589
0,0,6,4.17592982885169
0,0,6.01,4.26541181774987
0,0,6.02,4.35504165460408
0,0,6.03,4.44181224998708
0,0,6.04,4.52374014387719
0,0,6.05,4.59964827235159
0,0,6.06,4.6689728209412
0,0,6.07,4.73160201469123
0,0,6.08,4.78774718320745
0,0,6.09,4.83784223142835
0,0,6.1,4.88246693501188
