"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
5.6,0,-180,-11.177872158273,0.83117097562492
5.6,0,-178,-11.9032334156857,0.7716205375668
5.6,0,-176,-12.3979305681174,0.547439629973344
5.6,0,-174,-12.6290568399424,0.148479721208084
5.6,0,-172,-12.6061634017069,-0.437720824503295
5.6,0,-170,-12.3720847224924,-1.22798603843623
5.6,0,-168,-11.9863408751819,-2.24652907550803
5.6,0,-166,-11.5099751051614,-3.53000694456686
5.6,0,-164,-10.9951762860151,-5.13686349055558
5.6,0,-162,-10.4798497689139,-7.1665362065502
5.6,0,-160,-9.98634570481155,-9.80456252502687
5.6,0,-158,-9.5231610911915,-13.4497324656901
5.6,0,-156,-9.08838203968849,-19.1673698811265
5.6,0,-154,-8.67383975813043,-27.6304604432411
5.6,0,-152,-8.26914476328719,-20.3901477959911
5.6,0,-150,-7.86488978557989,-15.3843470471969
5.6,0,-148,-7.45455996338899,-12.5354332937088
5.6,0,-146,-7.03515351716168,-10.717025282377
5.6,0,-144,-6.60698751822361,-9.51121103573251
5.6,0,-142,-6.17330975068256,-8.72419097053775
5.6,0,-140,-5.74006870975776,-8.25124323071296
5.6,0,-138,-5.31576583977096,-8.02857102747066
5.6,0,-136,-4.91107773083977,-8.01177857492122
5.6,0,-134,-4.53802902050645,-8.16377073089213
5.6,0,-132,-4.20877481283567,-8.44609028380161
5.6,0,-130,-3.93426833817228,-8.81176079956634
5.6,0,-128,-3.72311511793413,-9.20050149521646
5.6,0,-126,-3.5807920092357,-9.54023909176848
5.6,0,-124,-3.50925648135277,-9.76011414288444
5.6,0,-122,-3.50687221270935,-9.81396207285835
5.6,0,-120,-3.56854918104644,-9.69978718919397
5.6,0,-118,-3.68601784245524,-9.45776603637686
5.6,0,-116,-3.84819918866956,-9.14820085223669
5.6,0,-114,-4.04167508492822,-8.82769243521544
5.6,0,-112,-4.25129361755067,-8.53631082443697
5.6,0,-110,-4.46095179898338,-8.29531299591831
5.6,0,-108,-4.65457271703518,-8.1098651805078
5.6,0,-106,-4.81723168599584,-7.97280895556479
5.6,0,-104,-4.93629929627632,-7.86807343341572
5.6,0,-102,-5.00239672065584,-7.77377561591717
5.6,0,-100,-5.00995122512573,-7.66545909008622
5.6,0,-98,-4.95722576435938,-7.5196887508194
5.6,0,-96,-4.84584875330328,-7.31764424292042
5.6,0,-94,-4.68001455799803,-7.04782864012213
5.6,0,-92,-4.46559193147231,-6.70700347352889
5.6,0,-90,-4.20934823326011,-6.29912694196953
5.6,0,-88,-3.91840721531712,-5.83295521263304
5.6,0,-86,-3.59996075319165,-5.31940149543295
5.6,0,-84,-3.26118674987241,-4.76952082376267
5.6,0,-82,-2.90929623539568,-4.19343333221948
5.6,0,-80,-2.55163409485926,-3.60004016192066
5.6,0,-78,-2.19577612469749,-2.99719672793894
5.6,0,-76,-1.84958870086129,-2.3920314548825
5.6,0,-74,-1.52123913647036,-1.79121237766198
5.6,0,-72,-1.21916157510528,-1.20108117997299
5.6,0,-70,-0.951994398817409,-0.627655788629487
5.6,0,-68,-0.728511569149664,-0.0765428237315293
5.6,0,-66,-0.557573807196695,0.447190295868982
5.6,0,-64,-0.448128122146736,0.93914291367817
5.6,0,-62,-0.409288077681469,1.39568205271281
5.6,0,-60,-0.45053461718605,1.81400199416007
5.6,0,-58,-0.582090972307611,2.19213343626683
5.6,0,-56,-0.815549117592492,2.52889335496661
5.6,0,-54,-1.16486619588423,2.82376462123525
5.6,0,-52,-1.64791976427205,3.0766944707265
5.6,0,-50,-2.28893245669668,3.28780721693728
5.6,0,-48,-3.12227859683901,3.45704122708279
5.6,0,-46,-4.19844276045195,3.58374118710481
5.6,0,-44,-5.59267116568333,3.66625715462074
5.6,0,-42,-7.41178753744749,3.70161166320822
5.6,0,-40,-9.75208781686815,3.68528663199474
5.6,0,-38,-12.2699405430505,3.61115194261893
5.6,0,-36,-12.7161573266171,3.47151612206831
5.6,0,-34,-9.92129449630975,3.25724165636848
5.6,0,-32,-6.59750118008081,2.95784622236668
5.6,0,-30,-3.76658401615634,2.56151133898693
5.6,0,-28,-1.42367601216139,2.05493770623765
5.6,0,-26,0.544367585790213,1.42301530657521
5.6,0,-24,2.22480203331343,0.648317399356815
5.6,0,-22,3.67609336078247,-0.289492951246202
5.6,0,-20,4.93694178339492,-1.41404314890599
5.6,0,-18,6.03324818506526,-2.7514794243598
5.6,0,-16,6.98258399585898,-4.32563702229123
5.6,0,-14,7.79700215075626,-6.1403211141396
5.6,0,-12,8.4848297008779,-8.12464231770045
5.6,0,-10,9.05183302072371,-10.0039706049986
5.6,0,-8,9.50198583914497,-11.2026089657863
5.6,0,-6,9.83797709142761,-11.2968611503899
5.6,0,-4,10.0615421013921,-10.6417542447353
5.6,0,-2,10.1736691323398,-9.85289615377942
5.6,0,0,10.1747137908205,-9.25790957422821
5.6,0,2,10.0644404436072,-8.95196177965426
5.6,0,4,9.84199938497532,-8.92686709740356
5.6,0,6,9.50583876941897,-9.11402908198721
5.6,0,8,9.05353945486764,-9.37215547255697
5.6,0,10,8.48154672457559,-9.46725534768713
5.6,0,12,7.78475205247868,-9.13441351803787
5.6,0,14,6.95584461098686,-8.26605975919444
5.6,0,16,5.98429396605699,-7.0070052046269
5.6,0,18,4.85471615595585,-5.59925718645651
5.6,0,20,3.54415449300991,-4.2203358003933
5.6,0,22,2.01732282075553,-2.95791831753995
5.6,0,24,0.217699578300633,-1.84288878454339
5.6,0,26,-1.95074142359213,-0.878815795110143
5.6,0,28,-4.66592617114565,-0.0580231394004229
5.6,0,30,-8.30402103679759,0.630988541110275
5.6,0,32,-13.8239855147409,1.2003777109488
5.6,0,34,-21.6364139799867,1.66169994377607
5.6,0,36,-15.3552914148175,2.02545539903225
5.6,0,38,-10.2257811805863,2.30096998859896
5.6,0,40,-7.15318170862436,2.49641526921221
5.6,0,42,-5.05583746851177,2.61889526754066
5.6,0,44,-3.51576111993998,2.67457795053279
5.6,0,46,-2.33820624557647,2.66886345709901
5.6,0,48,-1.41920263694442,2.60657969241926
5.6,0,50,-0.698073192054883,2.49218934855566
5.6,0,52,-0.13701113219311,2.32998730314921
5.6,0,54,0.289006351774413,2.12426672193998
5.6,0,56,0.5977225128095,1.87943630101598
5.6,0,58,0.802799821392134,1.60007831243992
5.6,0,60,0.915726833956984,1.29094519447037
5.6,0,62,0.946937706523031,0.956899500838749
5.6,0,64,0.906423404508481,0.602807211844577
5.6,0,66,0.80400434173703,0.233397781623014
5.6,0,68,0.649376808943242,-0.146893588886638
5.6,0,70,0.452013541192873,-0.53408464669775
5.6,0,72,0.220979619409246,-0.924788464159016
5.6,0,74,-0.0352882877586645,-1.31632307708459
5.6,0,76,-0.30920246816215,-1.70677468278325
5.6,0,78,-0.594218259634306,-2.09500525816794
5.6,0,80,-0.884985281965839,-2.48060110664343
5.6,0,82,-1.17744722788005,-2.86376447899203
5.6,0,84,-1.46888671111264,-3.24515539038355
5.6,0,86,-1.75791447953974,-3.6256955853554
5.6,0,88,-2.04440436006797,-4.00635308627161
5.6,0,90,-2.32937811446917,-4.38793632668746
5.6,0,92,-2.61484842200698,-4.77094316665356
5.6,0,94,-2.90363268776018,-5.15553094787913
5.6,0,96,-3.19915395929334,-5.54169285033285
5.6,0,98,-3.50524696168691,-5.92973022187863
5.6,0,100,-3.82598704783466,-6.32108316179789
5.6,0,102,-4.16555820665924,-6.71951150854131
5.6,0,104,-4.52817344527391,-7.1325187800439
5.6,0,106,-4.91805603409103,-7.57283362094781
5.6,0,108,-5.33948074599119,-8.05978323817861
5.6,0,110,-5.7968557574399,-8.62056793339422
5.6,0,112,-6.29479135065529,-9.29177278989558
5.6,0,114,-6.83804077929714,-10.1218924686275
5.6,0,116,-7.4310962681102,-11.1761985122958
5.6,0,118,-8.07705594754106,-12.5459217323397
5.6,0,120,-8.7751194013221,-14.3629959050274
5.6,0,122,-9.51574193887933,-16.8032777928184
5.6,0,124,-10.2723738226816,-19.8680090112008
5.6,0,126,-10.9900415095839,-21.6970578327787
5.6,0,128,-11.5766814032895,-19.2902149702126
5.6,0,130,-11.9142916303384,-15.80592735244
5.6,0,132,-11.9075727058239,-12.979443383648
5.6,0,134,-11.5463259525404,-10.7964568029726
5.6,0,136,-10.9146548991807,-9.09273084279494
5.6,0,138,-10.1349748339891,-7.75007344467271
5.6,0,140,-9.31087901076659,-6.69093975469161
5.6,0,142,-8.50769632603535,-5.86303627619334
5.6,0,144,-7.75886716947882,-5.22903561349962
5.6,0,146,-7.07861377260028,-4.76004163445132
5.6,0,148,-6.47235001610111,-4.4309555389272
5.6,0,150,-5.94334456224378,-4.21658196770568
5.6,0,152,-5.49623770150278,-4.08791655461976
5.6,0,154,-5.13828229446258,-4.0087616815686
5.6,0,156,-4.87912026713683,-3.93391437626199
5.6,0,158,-4.72980239978789,-3.81150381307406
5.6,0,160,-4.70158256946187,-3.59215878663116
5.6,0,162,-4.80477834805403,-3.24399797480678
5.6,0,164,-5.04775438872792,-2.76561237475785
5.6,0,166,-5.43590614760451,-2.18723571471062
5.6,0,168,-5.97040774530481,-1.55895414255562
5.6,0,170,-6.64642590022299,-0.934863259309557
5.6,0,172,-7.45050422995897,-0.36207054722447
5.6,0,174,-8.35698717552936,0.123261039359405
5.6,0,176,-9.32392724028828,0.495207613517424
5.6,0,178,-10.2902455934751,0.735566233926051
5.6,0,180,-11.177872158273,0.83117097562492
5.6,90.0000000000002,-180,-11.177872158273,0.831170975624925
5.6,90.0000000000002,-178,-12.1772955923214,0.721146073139302
5.6,90.0000000000002,-176,-13.5341017586986,0.476041333217589
5.6,90.0000000000002,-174,-15.3081388945685,0.0917568428291926
5.6,90.0000000000002,-172,-17.4940786709967,-0.437407336247451
5.6,90.0000000000002,-170,-19.6878137887933,-1.1191311461363
5.6,90.0000000000002,-168,-20.4529458618262,-1.96358448937719
5.6,90.0000000000002,-166,-18.9783260089789,-2.98412532081667
5.6,90.0000000000002,-164,-16.7505443505378,-4.1982419087484
5.6,90.0000000000002,-162,-14.7483231469672,-5.62871732364088
5.6,90.0000000000002,-160,-13.1264639279824,-7.30461510223395
5.6,90.0000000000002,-158,-11.8314345254842,-9.2601588988807
5.6,90.0000000000002,-156,-10.7885911375168,-11.5236705592537
5.6,90.0000000000002,-154,-9.93544721178278,-14.0669282915703
5.6,90.0000000000002,-152,-9.2243283165503,-16.6269621547222
5.6,90.0000000000002,-150,-8.62022131385369,-18.3927655672667
5.6,90.0000000000002,-148,-8.0983463329626,-18.5492796809498
5.6,90.0000000000002,-146,-7.64195243237101,-17.6466155648322
5.6,90.0000000000002,-144,-7.24026301450593,-16.6214512307018
5.6,90.0000000000002,-142,-6.88655493933317,-15.848410693829
5.6,90.0000000000002,-140,-6.57644204485037,-15.3877913272232
5.6,90.0000000000002,-138,-6.30644962655965,-15.2101063589953
5.6,90.0000000000002,-136,-6.07294096384087,-15.2612772171091
5.6,90.0000000000002,-134,-5.87143118681248,-15.4697485584192
5.6,90.0000000000002,-132,-5.69631007775776,-15.7374871186554
5.6,90.0000000000002,-130,-5.54097938890017,-15.9351398008304
5.6,90.0000000000002,-128,-5.39837005106271,-15.92401280387
5.6,90.0000000000002,-126,-5.26173193687114,-15.6142421664456
5.6,90.0000000000002,-124,-5.12550336000407,-15.0155022854251
5.6,90.0000000000002,-122,-4.98601555214546,-14.2200500617583
5.6,90.0000000000002,-120,-4.84181615804024,-13.33859249443
5.6,90.0000000000002,-118,-4.69351391616166,-12.4545450491634
5.6,90.0000000000002,-116,-4.54320558111933,-11.6149986486541
5.6,90.0000000000002,-114,-4.39366863199317,-10.8396849148501
5.6,90.0000000000002,-112,-4.24753841231331,-10.1320377810591
5.6,90.0000000000002,-110,-4.10664139085628,-9.48719551009866
5.6,90.0000000000002,-108,-3.97157192643194,-8.89683660942035
5.6,90.0000000000002,-106,-3.84152392681159,-8.35182628343615
5.6,90.0000000000002,-104,-3.71434340090358,-7.84350459264941
5.6,90.0000000000002,-102,-3.5867519140846,-7.36415906706731
5.6,90.0000000000002,-100,-3.45469193080772,-6.90703063363243
