"Freq [GHz]","dB(S(4,3)) []","dB(S(4,4)) []"
5.2,-1.47343681574397,-12.8588635994964
5.21,-1.51036637384975,-12.3850310955206
5.22,-1.54992347674908,-11.9680692981192
5.23,-1.59183294919091,-11.6008686965731
5.24,-1.63587079686379,-11.2781187313439
5.25,-1.68186350020216,-10.9952409231271
5.26,-1.72970014249194,-10.748378670862
5.27,-1.77931071798113,-10.5346794986982
5.28,-1.83068292460005,-10.3517129903498
5.29,-1.88385676170604,-10.1975920898756
5.3,-1.93892734410624,-10.070924977614
5.31,-1.99605224503484,-9.97068985362368
5.32,-2.05546192376516,-9.89623075100058
5.33,-2.1174516829304,-9.8473474480506
5.34,-2.18241276722416,-9.82413749244914
5.35,-2.25083467417782,-9.82710163540565
5.36,-2.32333402893747,-9.85709738350281
5.37,-2.40066784696244,-9.91542143616314
5.38,-2.48377889984094,-10.0038221506028
5.39,-2.57380166917922,-10.1245239023662
5.4,-2.67215884839754,-10.2804701074002
5.41,-2.7805824029129,-10.4750603062192
5.42,-2.90118934543516,-10.7126824874586
5.43,-3.03659805016936,-10.9984826225884
5.44,-3.19001992685634,-11.3386354649508
5.45,-3.36540420997884,-11.7402888681986
5.46,-3.56760530326963,-12.2119616777386
5.47,-3.80260321318142,-12.7631475523713
5.48,-4.07771768848099,-13.403863699148
5.49,-4.40192908317696,-14.1439747022347
5.5,-4.78619760670383,-14.990809438264
5.51,-5.24388621963467,-15.9449046112734
5.52,-5.79126955334771,-16.9925156218413
5.53,-6.4481835874131,-18.0928174863332
5.54,-7.23896743839954,-19.1647607267056
5.55,-8.19382923174852,-20.0890262312623
5.56,-9.35077576238262,-20.7501503281641
5.57,-10.7578345808104,-21.1132869738152
5.58,-12.4725607546132,-21.2589436011174
5.59,-14.5427973127345,-21.3226358349816
5.6,-16.8935883167071,-21.4169275191413
5.61,-18.8923263258681,-21.5878688543177
5.62,-19.0667396470958,-21.8056459120453
5.63,-17.3584756114121,-21.9630966088273
5.64,-15.2400561407475,-21.9009643787981
5.65,-13.3815222892703,-21.4824410544687
5.66,-11.8668571798766,-20.6881426270567
5.67,-10.6478587876332,-19.6227931956846
5.68,-9.66570543072176,-18.4286447282091
5.69,-8.8720212903426,-17.216507461013
5.7,-8.22958923383973,-16.049842847677
5.71,-7.70986897455174,-14.9584981413505
5.72,-7.29068723325207,-13.9534153003696
5.73,-6.95449109011243,-13.0369652498411
5.74,-6.68712019356676,-12.2070050030206
5.75,-6.47695149404472,-11.4600490588888
5.76,-6.31428839150657,-10.7917656558254
5.77,-6.19098030910342,-10.1977085197177
5.78,-6.10013076589407,-9.67336466862151
5.79,-6.03592138851374,-9.21425969449825
5.8,-5.99350582251194,-8.81605630138462
5.81,-5.96894363015518,-8.47437634906214
5.82,-5.95910707442716,-8.18529170608479
5.83,-5.96168450579501,-7.94492112810937
5.84,-5.97511192930961,-7.74969584051094
5.85,-5.99853548985698,-7.59630758181638
5.86,-6.03174956538608,-7.48180645248532
5.87,-6.07511986030079,-7.40358275448392
5.88,-6.12951693590369,-7.3593274544218
5.89,-6.19616480705476,-7.34718008499993
5.9,-6.27649483320046,-7.36567492940185
5.91,-6.37191595806074,-7.41372656849353
5.92,-6.48345546507745,-7.49084944079868
5.93,-6.61127597946095,-7.59699350546834
5.94,-6.75397317754186,-7.73267049390517
5.95,-6.90765363625195,-7.89903806709102
5.96,-7.06478733088141,-8.09775958919778
5.97,-7.21318881987029,-8.33091373086388
5.98,-7.33548203190606,-8.60079967647469
5.99,-7.41010805496628,-8.90944855774302
6,-7.41469654405967,-9.25818315840095
